enName,enAbbr,thName,thAbbr
Krabi,KBI,กระบี่,กบ
Bangkok,BKK,กรุงเทพมหานคร,กทม
Kanchanaburi,KRI,กาญจนบุรี,กจ
Kalasin,KSN,กาฬสินธุ์,กส
KamphaengPhet,KPT,กำแพงเพชร,กพ
KhonKaen,KKN,ขอนแก่น,ขก
Chanthaburi,CTI,จันทบุรี,จบ
Chachoengsao,CCO,ฉะเชิงเทรา,ฉช
ChonBuri,CBI,ชลบุรี,ชบ
ChaiNat,CNT,ชัยนาท,ชน
Chaiyaphum,CPM,ชัยภูมิ,ชย
Chumphon,CPN,ชุมพร,ชพ
ChiangRai,CRI,เชียงราย,ชร
ChiangMai,CMI,เชียงใหม่,ชม
Trang,TRG,ตรัง,ตง
Trat,TRT,ตราด,ตร
Tak,TAK,ตาก,ตก
NakhonNayok,NYK,นครนายก,นย
NakhonPathom,NPT,นครปฐม,นฐ
NakhonPhanom,NPM,นครพนม,นพ
NakhonRatchasima,NMA,นครราชสีมา,นม
NakhonSiThammarat,NRT,นครศรีธรรมราช,นศ
NakhonSawan,NSN,นครสวรรค์,นว
Nonthaburi,NBI,นนทบุรี,นบ
Narathiwat,NWT,นราธิวาส,นธ
Nan,NAN,น่าน,นน
BeungKan,BKN,บึงกาฬ,บก
BuriRam,BRM,บุรีรัมย์,บร
PathumThani,PTE,ปทุมธานี,ปท
PrachuapKhiriKhan,PKN,ประจวบคีรีขันธ์,ปข
PrachinBuri,PRI,ปราจีนบุรี,ปจ
Pattani,PTN,ปัตตานี,ปน
PhraNakhonSiAyutthaya,AYA,พระนครศรีอยุธยา,อย
Phayao,PYO,พะเยา,พย
Phang-nga,PNA,พังงา,พง
Phatthalung,PLG,พัทลุง,พท
Phichit,PCT,พิจิตร,พจ
Phitsanulok,PLK,พิษณุโลก,พล
Phetchaburi,PBI,เพชรบุรี,พบ
Phetchabun,PNB,เพชรบูรณ์,พช
Phrae,PRE,แพร่,พร
Phuket,PKT,ภูเก็ต,ภก
MahaSarakham,MKM,มหาสารคาม,มค
Mukdahan,MDH,มุกดาหาร,มห
MaeHongSon,MSN,แม่ฮ่องสอน,มส
Yasothon,YST,ยโสธร,ยส
Yala,YLA,ยะลา,ยล
RoiEt,RET,ร้อยเอ็ด,รอ
Ranong,RNG,ระนอง,รน
Rayong,RYG,ระยอง,รย
Ratchaburi,RBR,ราชบุรี,รบ
LopBuri,LRI,ลพบุรี,ลบ
Lampang,LPG,ลำปาง,ลป
Lamphun,LPN,ลำพูน,ลพ
Loei,LEI,เลย,ลย
SiSaKet,SSK,ศรีสะเกษ,ศก
SakonNakhon,SNK,สกลนคร,สน
Songkhla,SKA,สงขลา,สข
Satun,STN,สตูล,สต
SamutPrakan,SPK,สมุทรปราการ,สป
SamutSongkhram,SKM,สมุทรสงคราม,สส
SamutSakhon,SKN,สมุทรสาคร,สค
SaKaeo,SKW,สระแก้ว,สก
Saraburi,SRI,สระบุรี,สบ
SingBuri,SBR,สิงห์บุรี,สห
Sukhothai,STI,สุโขทัย,สท
SuphanBuri,SPB,สุพรรณบุรี,สพ
SuratThani,SNI,สุราษฎร์ธานี,สฎ
Surin,SRN,สุรินทร์,สร
NongKhai,NKI,หนองคาย,นค
NongBuaLamPhu,NBP,หนองบัวลำภู,นภ
AngThong,ATG,อ่างทอง,อท
AmnatCharoen,ACR,อำนาจเจริญ,อจ
UdonThani,UDN,อุดรธานี,อด
Uttaradit,UTT,อุตรดิตถ์,อต
UthaiThani,UTI,อุทัยธานี,อน
UbonRatchathani,UBN,อุบลราชธานี,อบ